,log2FoldChange,pvalue,padj
Dapma7bEVm000394,-0.098837142,0.763007955,0.998544574
Dapma7bEVm000395,-0.801117015,0.369976313,0.997835001
Dapma7bEVm000396,-0.067895583,0.789833563,0.998544574
Dapma7bEVm000397,-0.320503697,0.494034642,0.997835001
Dapma7bEVm000398,-0.646240537,0.004488739,0.318322695
Dapma7bEVm000399,-0.174417562,0.325577161,0.997835001
Dapma7bEVm000400,-0.006510639,0.980213471,0.998710342
Dapma7bEVm000401,-1.052852193,0.394744045,0.997835001
Dapma7bEVm000402,0.023098822,0.903487346,0.998544574
Dapma7bEVm000403,-0.12238727,0.690049072,0.998544574
Dapma7bEVm000404,-0.616341307,0.020968044,0.564600066
Dapma7bEVm000405,-0.814988388,0.526909483,0.997835001
Dapma7bEVm000406,-0.30738702,0.30429122,0.997835001
Dapma7bEVm000407,-0.037029196,0.939293724,0.998544574
Dapma7bEVm000408,0.151175501,0.21613447,0.991712453
Dapma7bEVm000409,1.226382264,0.04557916,0.743646325
Dapma7bEVm000410,0.136982801,0.374106083,0.997835001
Dapma7bEVm000411,-0.073177541,0.599294036,0.997835001
Dapma7bEVm000412,-0.680614887,0.40486059,0.997835001
Dapma7bEVm000413,-0.396920943,0.110292154,0.914141657
Dapma7bEVm000414,0.252254432,0.470925019,0.997835001
Dapma7bEVm000415,-0.132789628,0.428685689,0.997835001
Dapma7bEVm000416,0.051854631,0.936667103,0.998544574
Dapma7bEVm000417,0.335030121,0.775542256,0.998544574
Dapma7bEVm000418,0.13387657,0.3159421,0.997835001
Dapma7bEVm000419,0.235166114,0.714576731,0.998544574
Dapma7bEVm000420,-0.128251773,0.613769784,0.997835001
Dapma7bEVm000421,0.140103604,0.274823085,0.997835001
Dapma7bEVm000422,-0.315605677,0.206730617,0.990147509
Dapma7bEVm000423,-1.308167481,0.098674816,0.89576833
Dapma7bEVm000424,0.111974742,0.818708881,0.998544574
Dapma7bEVm000425,0.182318221,0.49299715,0.997835001
Dapma7bEVm000426,-0.733297645,0.056253298,0.791479558
Dapma7bEVm000427,0.06128419,0.770638473,0.998544574
Dapma7bEVm000428,0.101073206,0.646306807,0.997835001
Dapma7bEVm000429,0.311467098,0.149859096,0.945673822
Dapma7bEVm000430,-0.261925213,0.477308175,0.997835001
Dapma7bEVm000431,-1.351564585,0.007869235,0.419058728
Dapma7bEVm000432,0.641809601,0.471360788,0.997835001
Dapma7bEVm000433,0.443574816,0.017596399,0.550367718
Dapma7bEVm000434,-0.246417322,0.429311409,0.997835001
Dapma7bEVm000436,-0.509865186,0.077416266,0.852452839
Dapma7bEVm000437,-0.410716022,0.148306506,0.945673822
Dapma7bEVm000438,0.509781768,0.036424522,0.701318929
Dapma7bEVm000439,-0.070559753,0.736149872,0.998544574
Dapma7bEVm000440,0.171957485,0.64644954,0.997835001
Dapma7bEVm000441,0.02537725,0.918834897,0.998544574
Dapma7bEVm000442,-0.093007669,0.677200493,0.998544574
Dapma7bEVm000443,-0.143608023,0.45510352,0.997835001
Dapma7bEVm000444,0.01730426,0.949796949,0.998544574
Dapma7bEVm000445,-0.320678428,0.424411816,0.997835001
Dapma7bEVm000446,0.030743822,0.883218745,0.998544574
Dapma7bEVm000447,-0.256872787,0.276534312,0.997835001
Dapma7bEVm000448,-0.161522371,0.525855809,0.997835001
Dapma7bEVm000449,-0.217099863,0.182006463,0.970982937
Dapma7bEVm000450,-0.332405621,0.074100472,0.844126466
Dapma7bEVm000451,0.001060507,0.994728778,0.9993904
Dapma7bEVm000452,-0.521866295,0.003123464,0.256344705
Dapma7bEVm000453,0.005153645,0.975006505,0.998544574
Dapma7bEVm000454,0.031801233,0.874296872,0.998544574
Dapma7bEVm000455,0.365664185,0.031516388,0.656315258
Dapma7bEVm000456,-0.38360171,0.074571825,0.845492011
