,log2FoldChange,pvalue,padj
Dapma7bEVm000448,-0.060722916,0.810792349,0.961784623
Dapma7bEVm000449,0.14328023,0.376744842,0.807444555
Dapma7bEVm000450,0.010528832,0.954472585,0.991962559
Dapma7bEVm000451,0.410449295,0.009631844,0.132204826
Dapma7bEVm000452,-0.346399865,0.04771156,0.344328882
Dapma7bEVm000453,-0.011861504,0.942398102,0.991078577
Dapma7bEVm000454,0.363001829,0.06976512,0.421363498
Dapma7bEVm000455,0.709378269,2.80E-05,0.001400975
Dapma7bEVm000456,0.343522177,0.108013716,0.526257312
Dapma7bEVm000457,0.156052485,0.595500298,0.908948229
Dapma7bEVm000458,0.132385985,0.749945987,0.951918699
Dapma7bEVm000459,-0.368347835,0.216924312,0.678436566
Dapma7bEVm000460,-0.035446872,0.820551186,0.964779209
Dapma7bEVm000461,0.431869885,0.212759343,0.67332912
Dapma7bEVm000462,0.490573019,0.058758135,0.388032483
Dapma7bEVm000463,-0.585879614,0.484247883,NA
Dapma7bEVm000464,0.360779074,0.27025588,0.7257101
